Marker
Sim1
Plagl1
Ttc6
Cartpt
Slc6a2
Prdm6
Tph2
Gad2
Daam2
Pard3b
Col19a1
Nox4
Lhx4
Hoxc4
Hoxd4
Hoxa3
Hoxb3
Hoxd3
