TFs
Zfpm2
Zfhx4
Zfhx3
Zeb2
Zbtb7c
Zbtb5
Zbtb20
Vsx2
Uncx
Tshz2
Tshz1
Tlx3
Tfap2b
Tfap2a
Stat5b
St18
Sox14
Sox11
Smad3
Sim1
Shox2
Scml4
Satb2
Sall3
Sall1
Rreb1
Rorb
Rfx4
Prdm6
Prdm5
Pou6f2
Pou4f1
Pou3f2
Plagl1
Pknox2
Phox2b
Phox2a
Pgr
Otp
Onecut1
Nr4a3
Nr4a2
Nr2f2
Npas3
Npas1
Nkx6-1
Meis2
Meis1
Lmx1b
Lhx9
Lhx4
Lhx3
Lhx2
Lhx1
L3mbtl4
Klf10
Kcnip3
Hoxd3
Hoxc4
Hlf
Hes1
Glis1
Gata3
Gata2
Foxp2
Etv1
Esr2
Ebf3
Ebf2
Ebf1
Emx2
Dpf3
Dach2
Dach1
Cux2
Bcl11b
Bach1
